county,prop2_yes,prop2_no,prop3_yes,prop3_no,prop4_yes,prop4_no,prop5_yes,prop5_no,prop6_yes,prop6_no,prop32_yes,prop32_no,prop33_yes,prop33_no,prop34_yes,prop34_no,prop35_yes,prop35_no,prop36_yes,prop36_no
Alameda,448649,196071,484349,162389,468343,177890,360323,278296,367681,259910,423122,217905,285722,345147,292675,321988,475327,158263,394629,246789
Alpine,445,275,521,203,478,233,362,347,366,332,383,326,292,404,230,452,500,200,392,320
Amador,9736,11766,9728,11687,8870,12677,5663,15732,5872,15328,6013,15567,5185,16011,10561,10316,13134,8279,16836,4686
Butte,49504,41057,51240,39753,49123,42212,35285,54872,34788,54114,34697,57088,32395,57717,45070,41055,62621,27105,64491,25951
Calaveras,10755,14732,11429,14014,10411,15164,6896,18461,7133,17873,7392,18113,5970,19143,12490,12044,15119,10037,19553,5866
Colusa,3393,3338,2841,3786,2778,3953,1905,4812,1759,4895,2181,4574,1841,4923,3607,2972,4282,2413,5323,1432
Contra Costa,321784,186744,354545,153595,337764,178077,237348,273282,240211,258184,296664,213084,196222,311377,248938,244462,367541,135859,358471,154181
Del Norte,4300,5836,4819,5432,4609,5608,3467,6643,3231,6808,3722,6470,3140,6866,3458,6303,5253,4859,7285,2915
El Dorado,49553,57849,56464,50746,46996,60648,29998,76769,32950,72675,33740,74008,27330,78800,51949,51101,64751,41275,80175,27185
Fresno,169114,145387,155136,159795,170409,145506,122025,191417,111612,198766,122634,194985,114785,196571,163333,141316,202757,108550,236650,77666
Glenn,4689,5312,4149,5835,3994,6071,2790,7221,2643,7229,2886,7213,2522,7484,5318,4503,6357,3569,8026,2020
Humboldt,37335,24430,44423,17921,39035,23033,30836,30274,32292,28341,32008,29799,26555,33679,24785,33375,44332,16887,34571,26600
Imperial,32060,20357,25454,26829,31253,21088,25184,27022,19988,32026,29254,23445,22981,28736,27352,23750,35941,15700,39781,12161
Inyo,4616,3982,4658,3940,4364,4237,3380,5078,3131,5218,3415,5149,2717,5646,3832,4319,5301,3149,5732,2768
Kern,147472,126907,119523,155599,137238,138477,101348,172911,93432,178109,98941,177757,95209,178282,153228,115180,189126,83264,210475,63737
Kings,20949,18689,18283,22335,20274,20364,14786,25753,12121,27895,14755,25765,13726,26390,21836,18050,25733,14526,31619,8945
Lake,13793,11707,14540,10949,14374,11315,10261,15090,9734,15395,11672,13998,9284,16091,12529,12086,18016,7484,17907,7613
Lassen,3750,7230,3766,7224,3856,7116,2380,8598,2452,8468,2440,8610,2431,8425,4523,6194,5214,5698,9130,1919
Los Angeles,2144674,1306610,2277244,1188271,2234508,1231435,1747915,1674805,1819634,1551635,1885825,1610788,1555370,1897930,1570334,1764066,2289511,1133718,2235429,1233912
Madera,25590,27175,22497,30145,25548,27438,18078,34874,15627,36756,18973,34040,17616,35100,25827,26037,30880,21550,40710,11877
Marin,90366,46126,119254,19470,97546,39831,66128,66877,74540,57590,85280,51252,47477,85949,51681,75140,97409,36014,80854,53993
Mariposa,4285,4827,4153,4963,4123,5044,2791,6305,2930,6097,3049,6075,2450,6551,4328,4523,5409,3655,6593,2521
Mendocino,23215,14420,25895,11856,23782,14071,18193,18961,18604,18068,20364,17127,15087,21529,15990,19378,27154,10059,22336,14714
Merced,46880,35069,40741,40996,46709,35315,35283,46309,30434,50622,36655,45683,32690,49236,41044,39551,54088,27641,59600,21434
Modoc,1358,2526,1387,2506,1393,2491,959,2896,1008,2825,1011,2889,845,3008,1520,2226,1937,1891,2927,939
Mono,3089,2757,3926,1918,3560,2329,2503,3233,2449,3168,2620,3181,1993,3654,2565,2843,3697,1950,3474,2193
Monterey,87361,54211,93834,48009,91752,50247,70930,69993,65652,73707,80413,61852,61955,78696,71799,65246,102018,38598,88422,51780
Napa,35161,27001,43574,18975,38403,24270,27312,34672,28390,32930,33945,28810,23240,37948,27764,31720,44569,17276,41639,20479
Nevada,31407,28310,37848,22179,33353,27076,24297,35088,25503,33128,24554,35359,18629,40208,22905,33567,38246,21107,39583,20102
Orange,711878,620772,767402,566501,706429,629160,509400,812308,550614,752443,516820,825857,475292,846721,708486,571660,857322,463356,998326,341060
Placer,103936,122453,121006,105599,104585,122698,67024,157681,74911,145835,69454,157346,63207,159375,90454,124423,130840,92375,173510,52600
Plumas,4229,5585,4870,4968,4389,5481,2908,6788,3127,6419,3242,6517,2565,7022,4079,5263,5807,3845,6958,2773
Riverside,487109,403031,488115,418428,492029,413340,361087,536794,347454,542863,410507,498318,355210,545386,501520,379962,591690,301706,657958,242098
Sacramento,379730,247421,393738,234223,375420,252543,288002,335627,276854,347262,310206,325997,252092,372068,329018,279788,449563,177094,426960,196977
San Benito,13856,13002,15863,10987,15030,11853,10638,16088,10276,16272,13938,13219,10889,15737,13985,12118,18099,8528,18862,8043
San Bernardino,382663,309179,368109,365924,391779,342089,297555,433680,280975,428374,315455,396600,280745,436620,392105,312291,482320,243904,533475,196288
San Diego,783150,624625,929477,488011,811585,605458,594029,806241,627728,756244,661731,761603,557730,835944,736187,602270,908009,472535,912939,485821
San Francisco,290905,91500,327877,59058,307522,76512,236111,142165,250157,123922,271306,110945,161551,217308,172688,191865,290384,80795,241916,136902
San Joaquin,142288,109106,130128,120858,140419,110857,99359,149903,99537,146856,111555,141524,98164,150520,127443,114836,172882,76233,190189,61527
San Luis Obispo,75017,69977,87056,58764,76170,69655,56497,87050,57397,84131,57853,87207,47436,94919,74925,61958,89255,53206,94611,48651
San Mateo,199676,113037,236724,77562,215636,99515,144100,165456,166344,139111,179270,134407,117780,191353,130330,166052,223277,84677,211157,101540
Santa Barbara,104803,71156,117376,60284,107805,69316,83517,91230,84732,87616,89495,87224,66789,107011,83744,83067,114809,58228,105274,68877
Santa Clara,436491,283194,505248,218403,459658,257378,328197,380444,343670,355371,413670,301434,285743,424147,335059,351821,499445,206711,497158,218760
Santa Cruz,80313,47839,103970,26174,85854,43781,63953,62813,71019,54367,79913,49155,54342,71199,54663,64018,97292,28872,67455,58907
Shasta,36949,48064,34720,50161,35004,49854,23664,60237,24727,58731,21219,63832,21293,62454,43197,38307,51765,31660,69036,15516
Sierra,676,1043,763,932,770,960,461,1233,550,1111,578,1128,461,1204,640,983,916,784,1183,517
Siskiyou,9888,10772,9955,10762,9689,11094,6826,13605,7026,13120,7301,13341,5935,14257,9182,10413,12552,7755,14846,5604
Solano,110786,72307,111727,70800,111320,71979,82753,99281,84041,96179,96386,87713,75268,106356,89527,86603,132606,48236,127364,54181
Sonoma,146876,93697,184233,58225,159039,82968,114839,123739,121987,114239,140490,101085,97452,138743,94718,132596,170136,68013,142436,96301
Stanislaus,100678,87163,93352,95431,99588,90615,73597,114808,65252,120613,78295,111911,67938,119765,102549,81110,119584,68543,142250,46855
Sutter,17337,20302,16028,21457,16490,21147,11349,25993,11563,25293,11813,25969,11122,26213,20483,16180,22516,14768,30070,7678
Tehama,10833,14779,9735,15865,9971,15771,6513,19034,6806,18346,6702,18986,6388,19029,12597,12250,15481,9891,20957,4677
Trinity,2487,2983,2873,2594,2746,2731,1923,3484,2019,3310,1981,3473,1721,3582,2254,2952,3332,2062,3757,1623
Tulare,71653,62351,58504,75000,67480,66587,48985,85001,40788,91972,46963,87281,44854,88737,66501,63892,83155,48450,101761,31009
Tuolumne,11774,16072,12935,15010,11954,16085,8330,19400,8177,19301,8915,19026,7332,20119,14721,11904,15820,11733,21053,6648
Ventura,211275,165402,232949,142671,212037,165032,156150,218179,157540,212731,171032,200725,140440,226962,194700,167804,248667,122770,257712,116268
Yolo,55949,34034,63657,26736,57189,33081,43663,45065,45429,42366,45241,44322,36061,51369,37801,46971,63732,24296,53424,35457
Yuba,12354,15843,12824,15479,12683,15658,8834,19419,8737,19647,9864,19069,8421,19921,13659,14197,16695,11832,22086,6756
State Totals,8820842,6207390,9477435,5658187,9055116,6086414,6738890,8239337,6895604,7882137,7469803,7686126,5979880,8975542,7378686,7121317,10124174,4783434,10307296,4756612
